Incident_ID,Created_At,Country,Stream,Severity,Business_Impact,Status,Aging_Hours,Escalated,Escalation_Level,Recovery_Time_Hours,Recurrence,Hypercare_Phase,War_Room,Decision_Cycle_Min,Cross_Team_Dependency,Executive_Visibility,Rollback_Readiness,HSI,ORE,SV,SFI,CCE,RRS
INC940083,2026-04-04 22:00:00,Chile,CO,Sev3,High,Open,4,No,None,32,Yes,Week 4,Global Hypercare Hub,100,Medium,Low,72,66,33,16,60,82,70
INC940084,2026-04-08 03:00:00,Peru,FI,Sev4,Low,Open,7,Yes,L2,34,No,Week 1,Global Hypercare Hub,25,Medium,Medium,63,71,56,16,67,87,62
INC940085,2026-04-30 05:00:00,Argentina,SD,Sev4,Medium,In Progress,4,Yes,L3,36,No,Week 4,Global Hypercare Hub,116,Medium,Low,76,69,61,4,60,78,60
INC940086,2026-04-13 09:00:00,Peru,FI,Sev4,Low,Open,3,Yes,L3,27,Yes,Week 1,Global Hypercare Hub,11,Medium,Medium,80,91,70,-9,49,78,80
INC940087,2026-04-28 18:00:00,Colombia,MDG,Sev3,Medium,In Progress,14,No,None,4,No,Week 3,Global Hypercare Hub,52,High,Low,97,63,60,6,77,85,98
INC940088,2026-04-16 08:00:00,Canada,SD,Sev3,Medium,In Progress,8,Yes,L3,21,No,Week 4,North America War Room,109,High,Low,98,89,64,-9,52,71,75
INC940089,2026-04-21 21:00:00,Mexico,CO,Sev3,Medium,Monitoring,22,Yes,L3,3,Yes,Week 2,Global Hypercare Hub,14,High,High,74,81,61,-12,62,69,95
INC940090,2026-04-18 21:00:00,Canada,CO,Sev4,Low,Resolved,11,Yes,L2,35,No,Week 3,Global Hypercare Hub,94,Low,Medium,99,72,51,13,94,61,65
INC940091,2026-04-12 03:00:00,Colombia,CO,Sev2,High,In Progress,18,No,None,21,No,Week 4,LATAM Command Center,12,Medium,Low,86,85,47,15,90,95,95
INC940092,2026-04-24 03:00:00,Chile,CO,Sev4,Medium,Monitoring,3,Yes,L1,12,No,Week 2,LATAM Command Center,14,High,High,84,75,44,-5,72,83,77
INC940093,2026-04-27 11:00:00,Colombia,MM,Sev1,Critical,Open,21,Yes,L1,26,No,Week 2,Global Hypercare Hub,78,Low,Low,69,82,57,-8,54,60,66
INC940094,2026-04-19 21:00:00,Canada,MDG,Sev2,High,Resolved,48,No,None,34,Yes,Week 1,Global Hypercare Hub,62,Low,High,84,78,66,-10,91,66,90
INC940095,2026-04-03 19:00:00,Brazil,TM,Sev2,Critical,In Progress,47,No,None,36,Yes,Week 2,LATAM Command Center,38,High,Low,99,62,17,3,90,83,68
INC940096,2026-04-30 19:00:00,Mexico,ABAP,Sev1,Critical,Open,58,Yes,L1,18,No,Week 1,Global Hypercare Hub,37,High,Low,81,85,22,-10,83,82,89
INC940097,2026-04-11 06:00:00,Chile,CO,Sev3,High,In Progress,16,Yes,L2,1,Yes,Week 1,North America War Room,53,High,Low,79,64,45,-4,54,72,60
INC940098,2026-04-14 00:00:00,USA,FI,Sev4,Low,Monitoring,5,Yes,L2,7,Yes,Week 4,LATAM Command Center,50,Low,Low,63,83,21,14,77,56,75
INC940099,2026-04-28 15:00:00,Colombia,SD,Sev4,Low,Resolved,4,Yes,L2,7,No,Week 4,LATAM Command Center,106,Medium,Low,63,64,29,-3,61,77,65
INC940100,2026-04-11 15:00:00,Chile,MM,Sev4,Medium,Monitoring,5,No,None,17,Yes,Week 3,North America War Room,70,Medium,High,80,85,57,17,56,96,94
INC940101,2026-04-20 16:00:00,USA,MM,Sev2,Critical,Resolved,27,Yes,L3,16,No,Week 3,Global Hypercare Hub,42,Medium,High,94,94,69,16,89,90,78
INC940102,2026-04-11 18:00:00,Mexico,Basis,Sev3,High,Monitoring,12,Yes,L2,10,No,Week 3,LATAM Command Center,103,Low,Medium,74,70,55,-8,67,83,60
INC940103,2026-04-23 23:00:00,Brazil,SD,Sev4,Medium,Monitoring,3,Yes,L1,4,Yes,Week 3,Global Hypercare Hub,19,Medium,Low,94,73,35,10,93,98,70
INC940104,2026-04-22 00:00:00,Canada,MDG,Sev3,Medium,Resolved,12,No,None,8,No,Week 4,Global Hypercare Hub,79,High,Low,93,61,36,13,69,71,81
INC940105,2026-04-12 15:00:00,Brazil,ABAP,Sev4,Low,Monitoring,4,No,None,11,No,Week 3,LATAM Command Center,10,Low,Low,60,58,34,15,56,61,95
INC940106,2026-04-20 13:00:00,Chile,FI,Sev3,Medium,Monitoring,9,Yes,L2,5,Yes,Week 3,Global Hypercare Hub,95,Medium,Low,78,76,66,17,48,84,94
INC940107,2026-04-29 07:00:00,Peru,CO,Sev4,Medium,Open,4,No,None,13,No,Week 4,LATAM Command Center,55,Medium,High,63,96,56,-6,67,71,91
INC940108,2026-04-13 02:00:00,Colombia,MDG,Sev2,High,Open,14,Yes,L2,6,No,Week 1,North America War Room,61,High,Medium,83,72,65,-11,62,91,61
INC940109,2026-04-05 04:00:00,Argentina,MDG,Sev3,High,In Progress,22,Yes,L1,8,Yes,Week 3,LATAM Command Center,31,Low,Medium,78,96,56,-12,50,74,89
INC940110,2026-04-02 08:00:00,Canada,MDG,Sev4,Low,Monitoring,8,Yes,L3,30,No,Week 2,LATAM Command Center,37,Medium,Medium,62,89,32,12,73,66,82
INC940111,2026-04-04 06:00:00,Canada,MDG,Sev4,Medium,Resolved,3,Yes,L1,22,Yes,Week 3,LATAM Command Center,40,High,High,78,96,49,-10,49,87,73
INC940112,2026-04-20 14:00:00,Colombia,MDG,Sev2,High,Resolved,48,Yes,L1,23,Yes,Week 2,Global Hypercare Hub,116,High,Medium,63,72,44,10,62,97,66
INC940113,2026-04-25 22:00:00,USA,SD,Sev3,Medium,Monitoring,1,No,None,14,Yes,Week 2,North America War Room,63,Low,Medium,97,63,46,14,57,65,62
INC940114,2026-04-05 08:00:00,Chile,MM,Sev4,Medium,Open,10,No,None,32,No,Week 1,Global Hypercare Hub,14,High,Medium,87,90,30,6,95,71,86
INC940115,2026-04-18 23:00:00,Brazil,FI,Sev3,High,Monitoring,1,Yes,L2,2,No,Week 1,North America War Room,111,Low,High,72,71,46,-6,80,64,71
INC940116,2026-04-10 11:00:00,Colombia,TM,Sev3,High,Open,13,Yes,L3,32,No,Week 4,LATAM Command Center,64,Medium,Medium,90,83,20,-10,86,71,65
INC940117,2026-04-05 18:00:00,Canada,SD,Sev1,Critical,Monitoring,69,No,None,21,No,Week 4,North America War Room,89,Medium,Low,83,74,69,9,83,78,92
INC940118,2026-04-25 19:00:00,Peru,Basis,Sev1,Critical,In Progress,14,No,None,24,No,Week 2,Global Hypercare Hub,27,Medium,Medium,77,95,60,0,71,80,85
INC940119,2026-04-18 22:00:00,Canada,SD,Sev2,Critical,Open,41,Yes,L1,35,No,Week 3,North America War Room,36,Medium,High,72,73,28,-7,60,89,86
INC940120,2026-04-06 12:00:00,Chile,SD,Sev2,Critical,In Progress,46,Yes,L1,30,Yes,Week 3,North America War Room,98,High,High,77,93,44,-7,72,96,95
INC940121,2026-04-16 03:00:00,Mexico,ABAP,Sev4,Medium,Resolved,5,No,None,21,Yes,Week 4,North America War Room,91,Medium,Medium,75,93,66,15,77,81,75
INC940122,2026-04-19 23:00:00,Colombia,Basis,Sev2,Critical,Open,41,Yes,L3,26,No,Week 1,Global Hypercare Hub,106,High,Medium,94,90,70,11,73,61,91
INC940123,2026-04-16 10:00:00,Argentina,CO,Sev4,Low,Monitoring,9,No,None,35,No,Week 1,North America War Room,53,Low,High,65,75,47,13,60,94,89
INC940124,2026-04-22 11:00:00,Argentina,FI,Sev4,Low,Resolved,8,No,None,17,No,Week 4,LATAM Command Center,83,Low,Medium,80,85,64,11,51,78,79
INC940125,2026-04-27 14:00:00,Brazil,SD,Sev4,Medium,Monitoring,12,No,None,25,No,Week 1,LATAM Command Center,29,Medium,High,60,95,36,7,75,72,76
INC940126,2026-04-22 09:00:00,Mexico,ABAP,Sev3,Medium,Open,11,Yes,L3,4,No,Week 1,North America War Room,48,High,Medium,72,85,37,11,69,77,96
INC940127,2026-04-06 03:00:00,Brazil,TM,Sev3,High,In Progress,7,Yes,L2,22,No,Week 3,LATAM Command Center,38,Medium,High,60,75,52,8,61,81,74
INC940128,2026-04-23 07:00:00,Peru,CO,Sev3,High,In Progress,11,No,None,35,Yes,Week 2,Global Hypercare Hub,110,High,Medium,83,91,29,18,76,55,92
INC940129,2026-04-20 09:00:00,Canada,FI,Sev3,High,Open,1,Yes,L2,28,Yes,Week 3,Global Hypercare Hub,61,Medium,High,94,90,23,11,77,55,74
INC940130,2026-04-27 17:00:00,Chile,MM,Sev3,High,Resolved,10,Yes,L2,13,Yes,Week 4,Global Hypercare Hub,59,Medium,Medium,91,76,70,12,52,65,78
INC940131,2026-04-15 15:00:00,Canada,CO,Sev4,Medium,Open,1,No,None,16,No,Week 4,LATAM Command Center,76,Medium,Low,82,75,34,-7,92,58,64
INC940132,2026-04-23 07:00:00,Mexico,Basis,Sev2,High,Resolved,32,Yes,L1,35,No,Week 4,Global Hypercare Hub,21,Low,Medium,73,89,18,17,61,77,92
INC940133,2026-04-14 08:00:00,Brazil,SD,Sev3,High,Open,16,No,None,17,Yes,Week 4,LATAM Command Center,91,Low,Low,79,70,28,2,84,94,98
INC940134,2026-04-30 21:00:00,Brazil,TM,Sev3,High,Open,21,No,None,20,No,Week 1,Global Hypercare Hub,31,Medium,Low,88,86,41,-9,78,85,82
INC940135,2026-04-21 13:00:00,Canada,FI,Sev2,Critical,Resolved,11,No,None,7,No,Week 2,Global Hypercare Hub,31,Medium,Low,97,59,28,-7,67,70,81
INC940136,2026-04-22 22:00:00,Brazil,MDG,Sev4,Medium,Open,11,No,None,14,Yes,Week 4,North America War Room,67,Medium,Low,68,82,60,-6,68,77,83
INC940137,2026-04-30 19:00:00,USA,FI,Sev4,Medium,In Progress,12,No,None,31,Yes,Week 4,Global Hypercare Hub,40,Medium,Medium,72,59,60,18,48,69,87
INC940138,2026-04-01 22:00:00,Brazil,FI,Sev1,Critical,Monitoring,32,No,None,17,Yes,Week 3,LATAM Command Center,115,Low,Medium,91,85,24,-4,56,77,74
INC940139,2026-04-16 00:00:00,Chile,FI,Sev2,High,Monitoring,46,No,None,33,No,Week 4,Global Hypercare Hub,63,Medium,High,82,94,28,17,79,80,92
INC940140,2026-04-24 19:00:00,USA,MM,Sev3,Medium,In Progress,21,No,None,14,No,Week 2,North America War Room,82,Low,Low,89,70,15,8,83,77,84
INC940141,2026-04-18 23:00:00,Mexico,MDG,Sev3,High,Monitoring,3,Yes,L2,32,Yes,Week 1,Global Hypercare Hub,66,High,Low,65,65,23,8,95,76,76
INC940142,2026-04-30 05:00:00,Peru,ABAP,Sev2,Critical,In Progress,17,Yes,L1,27,Yes,Week 3,LATAM Command Center,53,Medium,Medium,88,84,71,-3,74,81,97
INC940143,2026-04-13 01:00:00,Mexico,TM,Sev4,Low,Open,2,Yes,L3,13,Yes,Week 2,North America War Room,57,Low,Low,77,74,69,5,69,78,64
INC940144,2026-04-01 18:00:00,Canada,TM,Sev2,High,Open,21,No,None,16,Yes,Week 4,North America War Room,48,Medium,High,88,80,36,9,67,59,70
INC940145,2026-04-25 01:00:00,Colombia,Basis,Sev3,Medium,Open,2,Yes,L2,21,No,Week 2,Global Hypercare Hub,96,High,Low,85,89,52,-10,90,84,94
INC940146,2026-04-06 10:00:00,Canada,MDG,Sev3,Medium,Monitoring,7,Yes,L1,20,Yes,Week 1,North America War Room,73,High,High,92,85,56,-2,94,98,69
INC940147,2026-04-13 12:00:00,Argentina,TM,Sev4,Low,Resolved,2,No,None,24,No,Week 4,Global Hypercare Hub,91,Medium,Low,75,68,20,9,82,71,76
INC940148,2026-04-02 07:00:00,Brazil,SD,Sev1,Critical,In Progress,55,Yes,L1,28,No,Week 1,LATAM Command Center,110,High,Low,90,70,22,0,63,78,89
INC940149,2026-04-16 09:00:00,Peru,CO,Sev3,Medium,In Progress,16,Yes,L3,15,No,Week 2,North America War Room,113,Low,High,72,91,56,3,72,90,85
INC940150,2026-04-30 08:00:00,Peru,Basis,Sev3,High,Open,10,Yes,L3,21,Yes,Week 3,LATAM Command Center,83,High,Low,92,75,33,-5,73,65,83
INC940151,2026-04-07 19:00:00,Canada,MDG,Sev1,Critical,Resolved,19,Yes,L3,8,Yes,Week 4,LATAM Command Center,95,Medium,Low,89,72,43,-4,66,68,79
INC940152,2026-04-08 10:00:00,Mexico,TM,Sev2,Critical,Resolved,42,No,None,16,No,Week 2,LATAM Command Center,40,Low,Medium,73,66,30,14,56,77,99
INC940153,2026-04-09 00:00:00,Argentina,CO,Sev3,Medium,Open,2,No,None,30,Yes,Week 3,North America War Room,110,High,Medium,90,80,65,18,69,92,89
INC940154,2026-04-15 07:00:00,Argentina,Basis,Sev3,Medium,Open,15,No,None,36,Yes,Week 2,LATAM Command Center,48,Low,Low,86,77,63,-4,56,70,97
INC940155,2026-04-03 16:00:00,Argentina,ABAP,Sev4,Low,Monitoring,11,Yes,L3,33,Yes,Week 3,North America War Room,48,High,Medium,66,84,62,11,72,78,84
INC940156,2026-04-15 23:00:00,Canada,TM,Sev4,Medium,Monitoring,5,Yes,L3,34,No,Week 2,LATAM Command Center,70,High,Low,76,93,60,-6,73,85,61
